dataset_id,short_name,column_index,variable_name,privacy_role,role_rationale,semantic_description,measurement_level,unit,coding_or_expected_range,observed_values_summary,nonmissing_count,missing_count,missing_rate,unique_count,scenario_membership,derived_formula,semantic_source,semantic_status,source_url
D1,BMI_Depression,1,Age,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Participant age band.,ordinal categorical,,18-30; 31-40; 41-50; 51-60 years,From 18 to 30.; From 31 to 40.; From 41 to 50.; From 51 to 60.,4683,0,0.0,4,extended;core;coarse,,repository description,confirmed_column_header,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,2,Gender,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Self-reported gender.,nominal categorical,,,Female; Male,4683,0,0.0,2,extended;core;coarse,,column header and repository description,confirmed_column_header,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,3,Marital status,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Self-reported marital-status category.,nominal categorical,,,Divorced; Married; Single; Widowed,4683,0,0.0,4,extended;core;coarse,,column header,confirmed_column_header,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,4,Nationality,other,not used by the current privacy-role configuration,Participant nationality; constant Saudi in the deposited analytic file.,nominal categorical,,,Saudi,4683,0,0.0,1,,,column header and observed file,confirmed_column_header,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,5,Region,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,"Saudi administrative region grouped as western, southern, eastern, northern, or central.",nominal categorical,,,Central Region; Eastern Region; North Region; Southern Region; Western Region,4683,0,0.0,5,extended;core;coarse,,repository description,confirmed_column_header,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,6,Educational level,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Highest reported educational-level category.,ordinal categorical,,,High school /Diploma; Middle school; Postgraduate; Primary school; University,4683,0,0.0,5,extended;core;coarse,,repository description,confirmed_column_header,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,7,Occupation,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Reported employment or activity category.,nominal categorical,,,Do not work; In the government sector; In the private sector; Retired; Student,4683,0,0.0,5,extended;core,,repository description,confirmed_column_header,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,8,Family income per month,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Monthly household income band in Saudi riyals.,ordinal categorical,SAR/month,,"(5000 - 10,000) riyals; Less than (5000) riyals; More than (10,000) riyals",4683,0,0.0,3,extended;core,,repository description,confirmed_column_header,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,9,Weight/kg,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Self-reported body weight.,continuous numeric,kg,,min=22; max=300; 155 distinct,4683,0,0.0,155,extended,,repository description,confirmed_column_header,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,10,Hight/cm,quasi_identifier,plausibly linkable background attribute under the stated auxiliary-knowledge model,Self-reported height; source column retains the misspelling 'Hight'.,continuous numeric,cm,,min=140; max=268; 68 distinct,4683,0,0.0,68,extended,,repository description,confirmed_column_header,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,11,BMI,sensitive,configured outcome or health/psychological attribute used for attribute-disclosure checks,Body mass index computed as weight in kilograms divided by squared height in metres.,continuous numeric,kg/m^2,,min=9.18274; max=112.914; 1765 distinct,4683,0,0.0,1765,,,repository description,confirmed_column_header,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,12,Do you smoke?,quasi_identifier;sensitive,configured outcome or health/psychological attribute used for attribute-disclosure checks; plausibly linkable background attribute under the stated auxiliary-knowledge model,Current or former smoking-status category.,nominal categorical,,,No; Yes; ex smoker,4683,0,0.0,3,extended,,column header,confirmed_column_header,https://data.mendeley.com/datasets/wrwtvtppgd/1
D1,BMI_Depression,13,Do you have chronic diseases?,sensitive,configured outcome or health/psychological attribute used for attribute-disclosure checks,Reported physician-diagnosed chronic-disease category or combination.,multi-response categorical,,,39 observed categories/text values; not enumerated,4683,0,0.0,39,,,repository description,confirmed_column_header,https://data.mendeley.com/datasets/wrwtvtppgd/1
