dataset_id,short_name,scenario,records,qid_count,puf_singleton_rate,puf_below_k5_rate,puf_homogeneous_rate,puf_min_k,puf_median_k,arx_prosecutor_risk,arx_journalist_risk,arx_marketer_risk,arx_records_100pct_risk,arx_avg_class_size,arx_num_classes
D1,BMI_Depression,core,4683,7,0.11509715994020926,0.28315182575272263,0.003416613282084134,1,1.0,1.0,1.0,0.22250693999572924,539,4.494241842610364,1042
D1,BMI_Depression,extended,4683,10,0.9205637411915438,0.9985052316890882,0.003416613282084134,1,1.0,1.0,1.0,0.9566517189835575,4311,1.0453125,4480
D2,GLP1,core,513,6,0.13840155945419103,0.2962962962962963,0.15984405458089668,1,1.0,1.0,1.0,0.2475633528265107,71,4.039370078740157,127
D2,GLP1,extended,513,10,0.47173489278752434,0.7621832358674464,0.23196881091617932,1,1.0,1.0,1.0,0.6198830409356725,242,1.6132075471698113,318
D3,Health_Message,core,348,5,0.13505747126436782,0.35919540229885055,0.06609195402298851,1,2.0,1.0,1.0,0.27298850574712646,47,3.663157894736842,95
D3,Health_Message,extended,348,5,0.3649425287356322,0.7040229885057471,0.15804597701149425,1,1.0,1.0,1.0,0.5459770114942529,127,1.831578947368421,190
D4,Employee_Attrition,core,1191,6,0.35516372795969775,0.6515533165407221,0.17632241813602015,1,1.0,1.0,1.0,0.5088161209068011,423,1.9653465346534653,606
D4,Employee_Attrition,extended,1191,10,0.81696053736356,0.9857262804366079,0.10663308144416457,1,1.0,1.0,1.0,0.889168765743073,973,1.1246458923512748,1059
D5,Driving_Employment,core,901,2,0.0011098779134295228,0.011098779134295227,0.0,1,25.0,1.0,1.0,0.018867924528301886,1,53.0,17
D5,Driving_Employment,extended,901,3,0.013318534961154272,0.05549389567147614,0.0022197558268590455,1,7.0,1.0,1.0,0.06437291897891231,12,15.53448275862069,58
