experiment,varied_param,param_value,singleton_high_bp,below_k5_high_bp,homogeneous_high_bp,solve_time_ms,satisfiable,d1_decision,d1_flags,d1_actions,d2_decision,d2_flags,d2_actions,d3_decision,d3_flags,d3_actions,d4_decision,d4_flags,d4_actions,d5_decision,d5_flags,d5_actions
sweep_singleton_high,singleton_high,500,500,2500,2500,16.0,True,remediate_before_release,high_linkability; high_small_group_exposure,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers,restricted_review,free_text_present; high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; redact_or_model_free_text; remove_structural_identifiers,restricted_review,high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; remove_structural_identifiers,restricted_review,high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; remove_structural_identifiers,public_candidate_after_documented_review,medium_linkability,document_threat_model
sweep_singleton_high,singleton_high,750,750,2500,2500,10.8,True,remediate_before_release,high_linkability; high_small_group_exposure,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers,restricted_review,free_text_present; high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; redact_or_model_free_text; remove_structural_identifiers,restricted_review,high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; remove_structural_identifiers,restricted_review,high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; remove_structural_identifiers,public_candidate_after_documented_review,medium_linkability,document_threat_model
sweep_singleton_high,singleton_high,1000,1000,2500,2500,10.3,True,remediate_before_release,high_linkability; high_small_group_exposure,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers,restricted_review,free_text_present; high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; redact_or_model_free_text; remove_structural_identifiers,restricted_review,high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; remove_structural_identifiers,restricted_review,high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; remove_structural_identifiers,public_candidate_after_documented_review,medium_linkability,document_threat_model
sweep_singleton_high,singleton_high,1500,1500,2500,2500,9.8,True,remediate_before_release,high_linkability; high_small_group_exposure,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers,restricted_review,free_text_present; high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; redact_or_model_free_text; remove_structural_identifiers,restricted_review,high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; remove_structural_identifiers,restricted_review,high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; remove_structural_identifiers,public_candidate_after_documented_review,medium_linkability,document_threat_model
sweep_singleton_high,singleton_high,2000,2000,2500,2500,9.3,True,remediate_before_release,high_linkability; high_small_group_exposure,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers,restricted_review,free_text_present; high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; redact_or_model_free_text; remove_structural_identifiers,restricted_review,high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; remove_structural_identifiers,restricted_review,high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; remove_structural_identifiers,public_candidate_after_documented_review,medium_linkability,document_threat_model
sweep_below_k5_high,below_k5_high,1500,1000,1500,2500,6.9,True,remediate_before_release,high_linkability; high_small_group_exposure,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers,restricted_review,free_text_present; high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; redact_or_model_free_text; remove_structural_identifiers,restricted_review,high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; remove_structural_identifiers,restricted_review,high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; remove_structural_identifiers,public_candidate_after_documented_review,medium_linkability,document_threat_model
sweep_below_k5_high,below_k5_high,2000,1000,2000,2500,8.2,True,remediate_before_release,high_linkability; high_small_group_exposure,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers,restricted_review,free_text_present; high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; redact_or_model_free_text; remove_structural_identifiers,restricted_review,high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; remove_structural_identifiers,restricted_review,high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; remove_structural_identifiers,public_candidate_after_documented_review,medium_linkability,document_threat_model
sweep_below_k5_high,below_k5_high,2500,1000,2500,2500,8.2,True,remediate_before_release,high_linkability; high_small_group_exposure,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers,restricted_review,free_text_present; high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; redact_or_model_free_text; remove_structural_identifiers,restricted_review,high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; remove_structural_identifiers,restricted_review,high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; remove_structural_identifiers,public_candidate_after_documented_review,medium_linkability,document_threat_model
sweep_below_k5_high,below_k5_high,3000,1000,3000,2500,9.1,True,remediate_before_release,high_linkability; high_small_group_exposure,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers,restricted_review,free_text_present; high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; redact_or_model_free_text; remove_structural_identifiers,restricted_review,high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; remove_structural_identifiers,restricted_review,high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; remove_structural_identifiers,public_candidate_after_documented_review,medium_linkability,document_threat_model
sweep_below_k5_high,below_k5_high,3500,1000,3500,2500,7.9,True,remediate_before_release,high_linkability; high_small_group_exposure,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers,restricted_review,free_text_present; high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; redact_or_model_free_text; remove_structural_identifiers,restricted_review,high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; remove_structural_identifiers,restricted_review,high_linkability; high_small_group_exposure; structural_identifier_present,compare_auxiliary_knowledge; document_threat_model; generalize_quasi_identifiers; remove_structural_identifiers,public_candidate_after_documented_review,medium_linkability,document_threat_model
