dataset_id,short_name,scenario,qid_count,qid_retention_fraction,equivalence_classes,minimum_k,median_k,singleton_rate,records_below_k5_rate,homogeneous_sensitive_rate
D1,BMI_Depression,extended,10,1.0,4480,1,1.0,0.9205637411915438,0.9985052316890882,0.003416613282084134
D1,BMI_Depression,core,7,0.7,1042,1,1.0,0.11509715994020926,0.28315182575272263,0.003416613282084134
D1,BMI_Depression,coarse,5,0.5,335,1,3.0,0.024556907964979714,0.07794149049754431,0.00042707666026051675
D2,GLP1,extended,10,1.0,318,1,1.0,0.47173489278752434,0.7621832358674464,0.23196881091617932
D2,GLP1,core,6,0.6,127,1,1.0,0.13840155945419103,0.2962962962962963,0.15984405458089668
D2,GLP1,coarse,3,0.3,25,1,6.0,0.005847953216374269,0.04873294346978557,0.029239766081871343
D3,Health_Message,extended,5,1.0,190,1,1.0,0.3649425287356322,0.7040229885057471,0.15804597701149425
D3,Health_Message,core,5,1.0,95,1,2.0,0.13505747126436782,0.35919540229885055,0.06609195402298851
D3,Health_Message,coarse,3,0.6,26,1,6.5,0.014367816091954023,0.06609195402298851,0.005747126436781609
D4,Employee_Attrition,extended,10,1.0,1059,1,1.0,0.81696053736356,0.9857262804366079,0.10663308144416457
D4,Employee_Attrition,core,6,0.6,606,1,1.0,0.35516372795969775,0.6515533165407221,0.17632241813602015
D4,Employee_Attrition,coarse,4,0.4,179,1,3.0,0.03946263643996641,0.19479429051217464,0.07976490344248531
D5,Driving_Employment,extended,3,1.0,58,1,7.0,0.013318534961154272,0.05549389567147614,0.0022197558268590455
D5,Driving_Employment,core,2,0.6666666666666666,17,1,25.0,0.0011098779134295228,0.011098779134295227,0.0
D5,Driving_Employment,coarse,1,0.3333333333333333,5,1,199.0,0.0011098779134295228,0.0011098779134295228,0.0
